-37.0703,0.0458771,-0.0507299
-37.0679,0.199997,-0.0294411
-37.0654,-0.017071,-0.143674
-37.063,0.022742,0.156128
-37.0605,0.0497416,0.0247777
-37.0581,0.101319,-0.0735713
-37.0556,-0.0326169,-0.00358527
-37.0532,0.0642882,0.254353
-37.0507,0.0389917,0.128914
-37.0483,-0.0789336,0.0374767
-37.0459,0.0250092,0.0816684
-37.0434,0.0295757,-0.0307274
-37.041,0.054368,0.079408
-37.0385,0.0401948,0.00295406
-37.0361,0.0451876,0.133624
-37.0336,0.037056,-0.027753
-37.0312,0.00620151,-0.136613
-37.0287,-0.0571422,0.069892
-37.0263,0.00459346,0.0260771
-37.0238,0.0621146,0.171392
-37.0214,0.112278,-0.161047
-37.0189,0.0441837,0.0172038
-37.0165,0.0817595,-0.0364147
-37.0141,-0.0215738,0.0400671
-37.0116,-0.0381925,0.0176186
-37.0092,-0.0588238,0.00780707
-37.0067,-0.0233726,0.0606429
-37.0043,0.00356324,-0.0288152
-37.0018,-0.0917957,0.0801617
-36.9994,-0.0110735,0.00336153
-36.9969,-0.0839745,0.061636
-36.9945,-0.0321183,-0.102356
-36.992,-0.0168597,-0.012712
-36.9896,0.00410081,-0.0323773
-36.9871,-0.0351553,-0.055621
-36.9847,-0.189209,-0.158537
-36.9823,0.0870031,0.133446
-36.9798,-0.113285,-0.0194105
-36.9774,-0.0552842,0.0768117
-36.9749,0.110867,-0.052642
-36.9725,-0.061702,0.0601808
-36.97,-0.0218451,0.00975303
-36.9676,0.0113909,-0.0631238
-36.9651,0.0160126,-0.080489
-36.9627,-0.0669138,-0.0708891
-36.9602,0.0282425,-0.111976
-36.9578,0.0346234,-0.00307664
-36.9553,0.15075,0.0158205
-36.9529,0.0182812,0.044543
-36.9505,-0.116633,0.169171
-36.948,0.0755386,-0.201356
-36.9456,0.0299929,0.00588852
-36.9431,0.059148,0.000184136
-36.9407,-0.0495976,0.0467673
-36.9382,0.0917108,0.0468467
-36.9358,-0.106969,0.0277916
